,Tweet,Time,Score,Location,Compound Score
27,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:56,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United States,0.0
28,    Good luck not being a laughing stock   with Bruce Allen and Dan Snyder running the team,2019-10-29 23:53:55,"{'neg': 0.128, 'neu': 0.585, 'pos': 0.287, 'compound': 0.506}",NC,0.506
29,"RT  : As a EU national, I find this proposal to give me the right to vote in the general election totally ridiculous.

If EU natio…",2019-10-29 23:53:55,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.4201}",,-0.4201
30,"RT  : Good Luck   in Game 6 of the #WorldSeries  Your #DCFamily is cheering you on, all the way!

(The graphic reads…",2019-10-29 23:53:53,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.8588}","Washington, DC",0.8588
31,  Was it lobbyist day at Nationals Stadium this week? Damn I missed it!,2019-10-29 23:53:53,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.636}","Endicott, NY",-0.636
32,RT  : I believe the Lock Him Up chant at the Nationals game was affirmatively good; not just not bad.  Because it demonstrates T…,2019-10-29 23:53:52,"{'neg': 0.094, 'neu': 0.791, 'pos': 0.115, 'compound': 0.1358}","Bellevue, WA",0.1358
33,"MLB:

⚾️ Nationals ML +150 

Only one pick tonight but we gotta huge weekend on the horizon with TNF, NCAAF, &amp; NBA so stay tuned!",2019-10-29 23:53:51,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.501}",,0.501
34,"RT  : ""You don’t boo the president. You may disagree with him, you may think that he’s not what you wanted, but you don’t boo him…",2019-10-29 23:53:51,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2023}",,-0.2023
35,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:51,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",DMV,0.0
36,"RT  : Nationals Disappointed To Learn Boos Don't Count As Runs 😂🤣
https://t.co/i5atxsKcKc",2019-10-29 23:53:50,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}","Smithfield, Va",-0.4767
37,RT  : Good luck tonight  ‼️ https://t.co/wFRgPffyGw,2019-10-29 23:53:50,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7096}",DMV ,0.7096
38,At Nats Park with other   fans hopefully by they can force a Game7. https://t.co/foXp07HGjv,2019-10-29 23:53:49,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}",DMV,0.4019
39,DRIVER PR: Sammy Swindell Lands Rides for VANKOR Texas Sprint Car Nationals and Can-Am World Finals… https://t.co/7AhTgw6BrI,2019-10-29 23:53:48,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Tulsa, OK",0.0
40,RT  : Good luck tonight  ‼️ https://t.co/wFRgPffyGw,2019-10-29 23:53:47,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7096}",Somewhere In Maryland,0.7096
41,      Houston Astros complete the reverse sweep. https://t.co/kFmyAuUhT7,2019-10-29 23:53:46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Columbus, OH",0.0
42,RT  :     And now the Nationals have lost 3 straight KARMA,2019-10-29 23:53:46,"{'neg': 0.205, 'neu': 0.625, 'pos': 0.17, 'compound': -0.1027}",,-0.1027
43,RT  : The rain over Houston are Nationals fan’s tears.,2019-10-29 23:53:46,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",,-0.2263
44,RT  : To all the people who were shocked/angry that Trump got booed relentlessly at the Nationals vs. Astros World Series game la…,2019-10-29 23:53:44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
45,Watch MLB World Series 2019: Houston Astros vs Washington Nationals Game 6 Live streaming free online at Minute Mai… https://t.co/itBECor2L0,2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5106}",USA,0.5106
46,"All 4 major sports going on at once: NFL, NHL, NBA, and MLB could be all over tonight if Verlander has anything to… https://t.co/oX7V9g0hth",2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada-780,0.0
47,"RT  : In the baseball justice system, umpire based offenses are considered especially heinous. In Washington, D.C. the dedicated…",2019-10-29 23:53:42,"{'neg': 0.114, 'neu': 0.731, 'pos': 0.155, 'compound': 0.2263}","Washington, DC",0.2263
48,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Mountains or monuments,0.0
49,RT  : Nationals fans didn't stick to sports: https://t.co/NM7yqzyEsx https://t.co/fJYqgjp9YW,2019-10-29 23:53:41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Toms River, NJ",0.0
50,"RT  : Hey    fans, when you Boo'd your President  , you boo'd the many Wounded Warriors (heroes) that he…",2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
51,Here we go..game 6..Astros looking to close out the #WorldSeries against the Nationals.,2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New York,0.0
52,    This doesn’t concern you,2019-10-29 23:53:39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",jeffrey.a.cook@abc.com,0.0
53,"Baseball is more “ storybook” than any other sport, if you think this #Nationals story is over, then you haven’t be… https://t.co/aAEtN1A1BJ",2019-10-29 23:53:38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New York,0.0
54,"RT  : BREAKING: When Obama won in 2012, a Saudi tycoon sent hundreds of thousands of dollars to the U.S. to help pay for the in…",2019-10-29 23:53:36,"{'neg': 0.049, 'neu': 0.729, 'pos': 0.222, 'compound': 0.7184}",Republic of Texas,0.7184
55,Let’s go Nationals!! #WorldSeries,2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","New York, NY",0.0
56,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Clemson,0.0
57,RT  :     When the Redskins post like we include them in our DC teams https://t.co/Hk5Ue1bmbJ,2019-10-29 23:53:35,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}","Virginia, USA",0.3612
58,"      Well, that’s a tuna",2019-10-29 23:53:35,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}",with my family,0.2732
59,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
60,"RT  : Go 1-0 today. 

#Strasmas // #STAYINTHEFIGHT https://t.co/UDSILSLVL0",2019-10-29 23:53:31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Trench ||| Støw, OH ||-//",0.0
61,"Okay, Astros. Nationals on the ropes. No letting up. Remember the sage advice of Die Hard. https://t.co/uRWhJ8IPxo",2019-10-29 23:53:31,"{'neg': 0.335, 'neu': 0.58, 'pos': 0.085, 'compound': -0.6808}","Houston, TX",-0.6808
62,RT  : Good luck tonight  ‼️ https://t.co/wFRgPffyGw,2019-10-29 23:53:30,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7096}","The 'Area' (Mostly DC/MD, tho)",0.7096
63,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","District of Columbia, USA",0.0
64,"RT  : BREAKING: When Obama won in 2012, a Saudi tycoon sent hundreds of thousands of dollars to the U.S. to help pay for the in…",2019-10-29 23:53:29,"{'neg': 0.049, 'neu': 0.729, 'pos': 0.222, 'compound': 0.7184}",,0.7184
65,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
66,RT  : To allow non-UK nationals to choose the UK government is to undermine the entire concept of citizenship. The last thing Lab…,2019-10-29 23:53:27,"{'neg': 0.091, 'neu': 0.83, 'pos': 0.079, 'compound': -0.0772}","Cardiff, Wales",-0.0772
67,  Question is are you ACTUALLY going to show up and fight?,2019-10-29 23:53:25,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3818}","Waldorf, MD",-0.3818
68,RT  : So this just happened in the middle of the nats game.   https://t.co/4MOij35smB,2019-10-29 23:53:25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
69,"Finally made it out to the park... The   might be a few hundred miles away, but we're ready to see them wi… https://t.co/QoSWh66GsM",2019-10-29 23:53:25,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.5023}",DC/MD,0.5023
70,RT  : WATCH: President Trump met with loud boos as he is introduced at the World Series in Nationals Park on Sunday night. https://t…,2019-10-29 23:53:24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Area 51,0.0
71,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
72,RT  : Good luck tonight  ‼️ https://t.co/wFRgPffyGw,2019-10-29 23:53:23,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7096}",,0.7096
73,RT  : So I wrote about   and I taking #TinyTeel to see the #Nationals in the #WorldSeries. https://t.co/e2KvStlDgS,2019-10-29 23:53:23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Fredericksburg, VA",0.0
74,    Get your dirty fingers off our Nats,2019-10-29 23:53:22,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.4404}",,-0.4404
75,"Oct 29, Day 29 (and possibly last day?) of   #Postseason 2019 #WorldSeries #WorldSeries2019
Game 6 #WSHvsHOU… https://t.co/wqbMKJP1JM",2019-10-29 23:53:22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Orlando, FL",0.0
76,LET’S FINISH THE FIGHT! https://t.co/ZSfXGxIgg0,2019-10-29 23:53:22,"{'neg': 0.475, 'neu': 0.525, 'pos': 0.0, 'compound': -0.561}",The Great Void,-0.561
77,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
78,"This nationals fan look so heartbroken when he asked me if I was watching the World Series. 

I told him the Yankee… https://t.co/EnT8t4h41y",2019-10-29 23:53:21,"{'neg': 0.177, 'neu': 0.734, 'pos': 0.089, 'compound': -0.5095}","Las Vegas, NV",-0.5095
79,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",London,0.0
80,        They are in SW outside of the Nationals ballpark.,2019-10-29 23:53:17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Planet Erf! Ruddy's room!,0.0
81,Would like to see the #Nationals win tonight just so we can get a game 7 #WorldSeries2019,2019-10-29 23:53:16,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.743}","New Brighton, MN, USA",0.743
82,LET’S GO NATS!!! https://t.co/w7ui1C4PKI,2019-10-29 23:53:16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","DC, the beach and the world.",0.0
83,"Whew! Today on set I yelled GO ASTROS &amp; the director was a Nationals fan 😭 idc, Astros baby...he better recognize 😒😭",2019-10-29 23:53:15,"{'neg': 0.112, 'neu': 0.689, 'pos': 0.199, 'compound': 0.3382}",lives in LA BUT im from HTOWN,0.3382
84,"World Series Game Six thread. October 29, 2019, 7:07 CDT. Nationals vs. Astros https://t.co/Gg90iuArQj",2019-10-29 23:53:15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United States,0.0
85,      We got this,2019-10-29 23:53:13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",DMV ,0.0
86,"RT  : 95 years ago, Washington was in the Fall Classic.

They trailed in the series, 3-2, after dropping Game 5.

They were playin…",2019-10-29 23:53:13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Trench ||| Støw, OH ||-//",0.0
87,"RT  : So much talk about Verlander, and the possibility of Scherzer tomorrow night, that Strasburg somehow flies under the rad…",2019-10-29 23:53:10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
88,"RT  : Proud to table on behalf of all   MPs amendments that would extend the franchise to 16 and 17yos, and European national…",2019-10-29 23:53:09,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}",Partick,0.5859
89,"RT  : The sad fact is I bet 90% of the players on the Nationals are pro Trump.
Team being supported by wealthy Fed &amp; DC Public wor…",2019-10-29 23:53:09,"{'neg': 0.1, 'neu': 0.744, 'pos': 0.155, 'compound': 0.1779}",,0.1779
90,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:08,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","West Virginia, USA",0.0
91,If the nationals lose today I’m drowning my tears in whiskey,2019-10-29 23:53:08,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.5574}",,-0.5574
92,RT  : I need some magic to happen in DC tonight. So please baseball Gods do whatever you gotta do so the   can extinguish…,2019-10-29 23:53:08,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.4572}",DMV ,0.4572
93,RT  : Bout time for Verlander to put these Nationals outta their misery. #TakeItBack #WorldSeries,2019-10-29 23:53:07,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.5719}",409,-0.5719
94,Get the win! #STAYINTHEFIGHT #WorldSeries https://t.co/dd09wSbpxj,2019-10-29 23:53:07,"{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.6239}",NRV,0.6239
95,"""#WorldNews: Astros vs. Nationals score: Live World Series Game 6 updates, highlights, full coverage #News"": https://t.co/qEdtQT7IC8",2019-10-29 23:53:05,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",RT's Are FYI Purposes Only,0.0
96,RT  : Vegas usually knows but Nationals at +180 was too tempting with Strasburg on the mound vs 0-5 Verlander.  Let’s get it…,2019-10-29 23:53:05,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
97,"RT  : Raise your hand if you'll be rooting hard for the   tonight. 🙋‍♂️

Screw the Nationals and their lousy Trump-hating…",2019-10-29 23:53:05,"{'neg': 0.212, 'neu': 0.572, 'pos': 0.215, 'compound': 0.2732}",,0.2732
98,"""#WorldNews: Nationals' Max Scherzer healthy and ready to pitch in World Series: 'I'm good' #News"": https://t.co/vyyJsOaSvc",2019-10-29 23:53:05,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.7964}",RT's Are FYI Purposes Only,0.7964
99,RT  : Watch 2019 World Series Game 6 Live Stream???*** 🔴►【MLB】Washington Nationals vs Houston Astros !! Astros vs Nationals…,2019-10-29 23:53:05,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Australia Stadium in Melbourne,0.0
